Library,Title,Date,Time,Location,Age Group,Program Type,Description,Link
Chicago Parks,Owl Prowl at NPV,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/owl-prowl-npv-0
Chicago Parks,Community Meeting: Steelworkers Framework at Russell Square,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/community-meeting-steelworkers-framework-russell-square
Chicago Parks,Holiday Hit & Fit at Park No. 571,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/holiday-hit-fit-park-no-571
Chicago Parks,3-on-3 Basketball Tournament at Bessemer,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/3-3-basketball-tournament-bessemer
Chicago Parks,A Huntrix Holiday at Pasteur,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/huntrix-holiday-pasteur-0
Chicago Parks,Community Bonfire at McKinley,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/community-bonfire-mckinley
Chicago Parks,Cookies with Santa at Calumet,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/cookies-santa-calumet
Chicago Parks,Holiday Hustle at Park No. 571,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/holiday-hustle-park-no-571
Chicago Parks,Tot Toy Give-Away at Simons,Not found,Pending...,Chicago Park District,Kids/Family,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/tot-toy-give-away-simons
Chicago Parks,"Cocoa, Cookies & Crafts at Chicago Women's",Not found,Pending...,Chicago Park District,All Ages,Arts/Culture,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/cocoa-cookies-crafts-chicago-womens
Chicago Parks,Community Bonfire at Mt. Greenwood,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/community-bonfire-mt-greenwood
Chicago Parks,Winter Art Workshop at Morgan Park SC,Not found,Pending...,Chicago Park District,All Ages,Arts/Culture,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/winter-art-workshop-morgan-park-sc
Chicago Parks,Drop and Shop at Rutherford Sayre,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/drop-and-shop-rutherford-sayre
Chicago Parks,T.I.P. Holiday Basketball Jam at West Pullman,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/tip-holiday-basketball-jam-west-pullman
Chicago Parks,Holiday Party at La Follette,Not found,Pending...,Chicago Park District,All Ages,Arts/Culture,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/holiday-party-la-follette
Chicago Parks,Basketball - Open (Deaf & HOH) at Horner,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/basketball-open-deaf-hoh-horner-0
Chicago Parks,Skate-N-Peace at Hamilton,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/skate-n-peace-hamilton-3
Chicago Parks,Skate-N-Peace at Hamilton,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/skate-n-peace-hamilton-6
Chicago Parks,Breakfast with Santa at Haas,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/breakfast-santa-haas
Chicago Parks,Winter Walk and Bonfire at Big Marsh,Not found,Pending...,Chicago Park District,All Ages,Nature/Outdoors,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/winter-walk-and-bonfire-big-marsh-0
Chicago Parks,Cocoa with Santa at White (Willye B.),Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/cocoa-santa-white-willye-b
Chicago Parks,Winter Wonderland at Union,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/winter-wonderland-union
Chicago Parks,Englewood with Santa at Hamilton,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/englewood-santa-hamilton
Chicago Parks,Hot Cocoa & Toy Giveaway at LeClaire-Hearst,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/hot-cocoa-toy-giveaway-leclaire-hearst
Chicago Parks,Winter Wonderland at Green Briar,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/winter-wonderland-green-briar
Chicago Parks,The Circus On Ice at McKinley,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/circus-ice-mckinley
